Message,Word_Count,Text_Length,Count_A,Count_Exclamation,Avg_Word_Length,Punctuation_Count,Uppercase_Word_Count,Keyword_Presence,and,are,call,can,for,have,in,is,it,me,my,now,of,on,so,that,the,to,you,your,Label
K tell me anything about you.,6,29,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.807795541,0,0,0,0,0,0,0,0,0.589462776,0,ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,84,7,0,4,1,0,0,0,0,0,0,0.337842329,0.35491388,0,0,0,0,0,0,0.702390977,0,0,0.358767515,0.284291579,0,0.238767213,0,ham
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,158,4,0,4.482758621,2,4,0,0,0,0,0,0.362110126,0,0,0,0,0,0,0,0,0,0,0,0,0.249268092,0.511836546,0.738081991,spam
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,122,7,0,3.392857143,6,0,0,0,0,0,0,0,0,0,0.524032296,0,0,0,0,0,0.599391226,0,0,0.468337008,0.38311977,0,0,ham
"Oops, I'll let you know when my roommate's done",9,47,1,0,4.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0.818143754,0,0,0,0,0,0,0,0.575013737,0,ham
I see the letter B on my car,8,28,1,0,2.625,0,2,0,0,0,0,0,0,0,0,0,0,0,0.592626604,0,0,0.634703592,0,0,0.495928482,0,0,0,ham
Anything lor... U decide...,4,27,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,155,7,2,4.2,7,1,0,0.321854338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369843681,0,0.719227736,0.49227726,0,ham
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,82,8,0,3.882352941,3,1,0,0,0,0,0,0,0.836425555,0,0,0,0,0,0,0,0,0,0,0,0.548080551,0,0,ham
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",34,142,5,0,3.205882353,15,5,0,0,0,0,0,0,0,0,0,0,0,0.259181696,0,0.267933592,0,0,0,0,0.177426433,0.910799813,0,ham
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,33,172,6,0,4.242424242,5,1,1,0,0,0.578070188,0,0.556395196,0,0,0,0,0,0,0.300867336,0,0,0,0,0,0.383009363,0.196613803,0.283522363,spam
WHO ARE YOU SEEING?,4,19,0,0,4,1,4,0,0,0.842614671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538516961,0,ham
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,13,72,3,1,4.461538462,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569854584,0.821745553,ham
No calls..messages..missed calls,3,32,3,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Didn't you get hep b immunisation in nigeria.,8,45,2,0,4.75,2,0,0,0,0,0,0,0,0,0.792471818,0,0,0,0,0,0,0,0,0,0,0,0.609908532,0,ham
"Fair enough, anything going on?",5,31,2,0,5.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ham
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,67,6,0,3.857142857,2,1,0,0,0,0,0.744331795,0,0,0,0,0.667809987,0,0,0,0,0,0,0,0,0,0,0,ham
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,148,9,0,3.966666667,7,4,0,0,0.503358429,0,0,0.455184105,0,0,0,0,0,0,0,0,0,0,0,0.383033732,0.626676059,0,0,ham
What you thinked about me. First time you saw me in class.,12,58,4,0,3.916666667,2,0,0,0,0,0,0,0,0,0.357626339,0,0,0.754371794,0,0,0,0,0,0,0,0,0.550478517,0,ham
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",23,124,9,0,4.347826087,11,1,0,0.513408506,0,0,0,0.555549607,0,0,0.523085107,0,0,0,0,0,0,0,0,0,0,0.392629992,0,ham
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,80,6,0,4.0625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",55,289,18,0,4.272727273,14,3,0,0.338633693,0,0,0,0,0.192472585,0,0,0.184141419,0,0,0,0,0,0.612517028,0.194562441,0.308347113,0.126120585,0.388456004,0.373442633,ham
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,120,3,0,4.5,5,3,0,0.481320487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876544687,0,0,0,spam
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,13,76,6,0,4.846153846,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837106135,0,0,0,0,0,0,0.547040509,0,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",27,160,11,4,4.962962963,12,3,1,0,0,0.510891416,0,0.491735322,0,0,0.462999919,0,0,0,0.5318058,0,0,0,0,0,0,0,0,spam
"Sorry, I'll call later in meeting.",6,34,2,0,4.833333333,3,0,0,0,0,0.749278086,0,0,0,0.662255502,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Tell where you reached,4,22,1,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
Yes..gauti and sehwag out of odi series.,7,40,3,0,4.857142857,3,0,0,0.664413292,0,0,0,0,0,0,0,0,0,0,0,0.747365357,0,0,0,0,0,0,0,ham
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,108,6,0,3.739130435,5,1,0,0,0,0,0.338200693,0.301904303,0.317159865,0,0.284262004,0,0.292398403,0,0,0,0.325140554,0,0,0,0.20782382,0,0.615365639,ham
Ha ha ha good joke. Girls are situation seekers.,9,48,5,0,4.444444444,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Its a part of checking IQ,6,25,2,0,3.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ham
"Sorry my roommates took forever, it ok if I come by now?",12,56,1,0,3.75,2,1,0,0,0,0,0,0,0,0,0,0.562643028,0,0.562928761,0.605428801,0,0,0,0,0,0,0,0,ham
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,110,7,0,3.625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",28,152,11,0,4.464285714,3,1,0,0,0.390457862,0.366843743,0,0,0,0,0,0,0,0,0,0.36704455,0,0,0.374958294,0,0.243058008,0.499085023,0.359846977,spam
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",23,122,7,0,4.347826087,8,0,0,0,0,0,0,0.404474704,0,0,0.380838526,0,0.78347845,0,0,0,0,0,0,0,0.278430871,0,0,ham
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,159,6,0,6.272727273,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,spam
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",15,78,4,1,4.266666667,5,0,0,0,0,0,0,0,0,0,0,0.553405309,0,0,0,0.572382909,0,0,0,0.463342061,0,0.389145864,0,spam
I plane to give on this month end.,8,34,1,0,3.375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842584391,0,0,0,0.538564336,0,0,ham
Wah lucky man... Then can save money... Hee...,8,46,4,0,4.875,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Finished class where are you.,5,29,2,0,5,1,0,0,0,0.842614671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538516961,0,ham
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,45,0,0,3.6,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ham
K..k:)where are you?how did you performed?,6,42,1,0,6.166666667,6,0,0,0,0.616180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78760488,0,ham
U can call me now...,5,20,2,0,3.2,3,1,0,0,0,0.492957512,0.531517391,0,0,0,0,0,0.459534352,0,0.513137734,0,0,0,0,0,0,0,0,ham
I am waiting machan. Call me once you free.,9,43,5,0,3.888888889,2,1,1,0,0,0.654879612,0,0,0,0,0,0,0.610477922,0,0,0,0,0,0,0,0,0.445476599,0,ham
Thats cool. i am a gentleman and will treat you with dignity and respect.,14,73,7,0,4.285714286,2,0,0,0.934044707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357156107,0,ham
I like you peoples very much:) but am very shy pa.,11,50,2,0,3.636363636,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
Does not operate after  &lt;#&gt;  or what,7,42,3,0,4.857142857,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Its not the same here. Still looking for a job. How much do Ta's earn there.,16,76,4,0,3.8125,4,0,0,0,0,0,0,0.765142386,0,0,0,0,0,0,0,0,0,0,0,0.64386111,0,0,0,ham
"Sorry, I'll call later",4,22,2,0,4.75,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
K. Did you call me just now ah?,8,31,2,0,3,2,1,0,0,0,0.541112114,0,0,0,0,0,0,0.504424009,0,0.563263644,0,0,0,0,0,0,0.368087172,0,ham
Ok i am on the way to home hi hi,10,32,2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703759959,0,0,0.549885983,0.449830331,0,0,ham
You will be in the place of that man,9,36,3,0,3.111111111,0,0,0,0,0,0,0,0,0,0.444956095,0,0,0,0,0,0.503700382,0,0,0.514560524,0.407743783,0,0.342450687,0,ham
Yup next stop.,3,14,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
"I call you later, don't have network. If urgnt, sms me.",11,55,3,0,4.090909091,5,1,0,0,0,0.546021917,0,0,0.552105147,0,0,0,0.509000921,0,0,0,0,0,0,0,0,0.371427026,0,ham
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,121,7,0,3.692307692,4,2,0,0.720144613,0,0,0,0.389627414,0,0,0,0,0,0.391797384,0,0,0.419615328,0,0,0,0,0,0,ham
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,144,11,0,3.677419355,4,2,0,0,0,0,0,0,0,0.604198206,0,0.330644436,0,0.330812351,0,0,0,0.366611974,0,0.276834125,0.452924387,0,0,ham
I'm really not up to it still tonight babe,9,42,2,0,3.777777778,1,0,0,0,0,0,0,0,0,0,0,0.825037624,0,0,0,0,0,0,0,0,0.565077799,0,0,ham
"Ela kano.,il download, come wen ur free..",7,41,3,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Yeah do! Don‘t stand to close tho- you‘ll catch something!,10,58,3,2,4.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697738105,0.716352942,0,ham
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,39,194,17,0,4,5,1,0,0.576324062,0,0,0,0,0,0.190890813,0.195728827,0.208928079,0,0.209034182,0,0.216092726,0,0,0.662255522,0,0.143097255,0,0,ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,141,3,2,4.461538462,2,2,0,0,0,0,0,0,0,0.9363863,0,0,0,0,0,0,0,0,0,0,0.350971078,0,0,ham
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,23,137,10,1,5,2,1,0,0,0,0.530025567,0,0,0.535930581,0,0,0,0,0,0,0,0.549416194,0,0,0,0,0.360545637,0,spam
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,107,8,0,4.4,3,2,0,0,0,0,0,0,0,0.800142536,0,0,0,0,0,0,0,0,0,0,0.599809905,0,0,ham
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",29,158,3,0,4.482758621,8,5,1,0.331917776,0,0,0,0,0,0,0.338173683,0,0,0,0,0,0,0,0,0.302231851,0.741715871,0,0.366036371,spam
Watching telugu movie..wat abt u?,5,33,3,0,5.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
i see. When we finish we have loads of loans to pay,12,51,4,0,3.333333333,1,0,0,0,0,0,0,0,0.644353376,0,0,0,0,0,0,0.63760256,0,0,0,0,0.422222338,0,0,ham
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",38,178,10,1,3.710526316,7,0,0,0,0,0,0,0.468551965,0.24611421,0,0,0,0,0,0.25336664,0.2435357,0.504614355,0.261074661,0.497573008,0,0.161270075,0,0,ham
I see a cup of coffee animation,7,31,3,0,3.571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ham
Please don't text me anymore. I have nothing else to say.,11,57,4,0,4.272727273,3,1,0,0,0,0,0,0,0.662364553,0,0,0,0.6106521,0,0,0,0,0,0,0,0.434024435,0,0,ham
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,81,8,1,2.904761905,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,76,3,0,3.8125,3,0,0,0.498880824,0,0,0,0.539829478,0.567107665,0,0,0,0,0,0,0,0,0,0,0,0.371605913,0,0,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,160,8,0,5.192307692,6,0,0,0,0,0,0,0.303985304,0,0,0,0,0,0,0,0,0,0,0,0,0.209256332,0,0.929410954,ham
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,183,10,1,4.111111111,8,2,0,0.246364885,0,0,0,0,0,0,0,0.267935415,0,0.536142967,0,0,0.574209569,0,0.283098548,0,0.367024121,0.188407948,0,ham
Umma my life and vava umma love you lot dear,10,44,6,0,3.5,0,0,0,0.600969457,0,0,0,0,0,0,0,0,0,0.653919385,0,0,0,0,0,0,0,0.459592373,0,ham
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,95,7,0,4.647058824,2,0,0,0,0,0,0,0.610202518,0,0,0,0,0,0.613600947,0,0,0.328583565,0,0,0,0,0.215627738,0.310940966,ham
"Aight, I'll hit you up when I get some cash",10,43,1,0,3.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ham
How would my ip address test that considering my computer isn't a minecraft server,14,82,4,0,4.928571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0.884293363,0,0,0,0,0.466931738,0,0,0,0,ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,115,7,1,3.833333333,6,2,0,0,0,0,0,0,0,0,0,0,0,0.612807626,0,0,0,0,0,0.512816593,0.419505979,0.430697908,0,ham
Dont worry. I guess he's busy.,6,30,0,0,4.166666667,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
What is the plural of the noun research?,8,40,3,0,4.125,1,0,0,0,0,0,0,0,0,0,0.429781331,0,0,0,0,0.474496378,0,0,0,0.768206479,0,0,0,ham
Going for dinner.msg you after.,5,31,1,0,5.4,2,0,0,0,0,0,0,0.816637157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577151413,0,ham
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,96,3,0,3.041666667,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ham
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,158,9,1,4.888888889,6,3,0,0,0.455195215,0.427665909,0,0,0,0,0,0,0,0,0,0,0,0,0.437125842,0,0.283356677,0.581832604,0,spam
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,143,9,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694929551,0.719077826,0,0,0,0,0,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,156,8,2,3.90625,13,3,0,0,0,0,0,0,0,0,0,0,0.67354527,0.699315449,0,0,0,0,0,0,0.239363056,0,0,ham
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),27,151,10,0,4.62962963,7,1,0,0,0.608757519,0,0,0,0.578313064,0,0,0,0,0,0,0,0,0,0,0,0.37894842,0.389058321,0,spam
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,12,71,5,2,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,86,2,0,4.8,6,0,0,0,0,0,0,0,0,0,0,0,0.431973171,0.44850068,0,0,0,0.497036217,0.473641918,0.3753194,0,0,0,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,144,3,1,6.25,3,1,0,0,0,0.548192057,0,0.527637359,0,0,0,0,0,0,0,0,0,0,0,0,0.363213145,0,0.537736457,spam
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,156,8,2,5.038461538,6,4,0,0,0,0.482409821,0,0,0,0,0.437188218,0,0,0,0,0,0.500058458,0,0,0,0.319628104,0,0.473208877,spam
here is my new address -apples&pairs&all that malarky,8,53,7,0,5.75,3,0,0,0,0,0,0,0,0,0,0.541322987,0,0,0.578121319,0,0,0,0,0.610528595,0,0,0,0,ham
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,27,156,16,0,4.814814815,2,0,0,0,0.528432841,0.496474268,0,0,0.502005488,0,0,0,0,0,0,0,0,0,0,0,0.328946722,0.337722636,0,spam
I am going to sao mu today. Will be done only at 12,13,51,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ham
Ü predict wat time ü'll finish buying?,7,38,1,0,4.571428571,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
